,DT,NB,KNN,LR,RF,Extra,SVM,XGB,LGB
iris,0.9422222222222223,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9533333333333334,0.948888888888889,0.928888888888889,0.948888888888889,0.9600000000000001
breast,0.9174093049733478,0.9332453552760959,0.9666356155876416,0.9759716400144905,0.9578067587848678,0.9660094188273044,0.9666097396884543,0.9607255602132175,0.9607255602132176
wine,0.9046560846560845,0.9719047619047618,0.9588888888888888,0.9795238095238096,0.9831746031746031,0.9888359788359788,0.9831746031746033,0.9662962962962962,0.97005291005291
vowel,0.8023569023569024,0.6609427609427609,0.9074074074074073,0.6696969696969697,0.9676767676767677,0.9845117845117844,0.5713804713804714,0.8861952861952862,0.9265993265993266
segment,0.9558441558441559,0.7894660894660894,0.9301587301587302,0.936075036075036,0.9704184704184704,0.9679653679653679,0.9113997113997113,0.9668109668109667,0.9743145743145744
spambase,0.9145116366897984,0.8161250373727358,0.9082089411320398,0.9260307793985746,0.9526187666210325,0.9549377645596313,0.9246535744071506,0.9471845347684464,0.9566757148027506
optdigits,0.902491103202847,0.7200474495848163,0.9770462633451956,0.9714709371293,0.9826215895610912,0.9854685646500594,0.9669632265717676,0.9750296559905102,0.9798932384341639
