,DT,NB,KNN,LR,RF,Extra,SVM,XGB,LGB
iris,0.7266666666666667,0.8888888888888891,0.8977777777777779,0.86,0.8666666666666667,0.8644444444444446,0.8155555555555557,0.868888888888889,0.9244444444444446
breast,0.7375821559799203,0.9303213786679086,0.9021787507115872,0.9214459452465974,0.9314392175128086,0.9338146250582208,0.9179785747554727,0.9139160585830358,0.8862754230709516
wine,0.7096825396825397,0.9400529100529099,0.9233333333333333,0.9212698412698413,0.9608994708994708,0.955132275132275,0.9365079365079365,0.8856084656084657,0.885873015873016
vowel,0.6518518518518519,0.564983164983165,0.8686868686868687,0.530976430976431,0.8808080808080809,0.8397306397306398,0.45690235690235687,0.8101010101010101,0.8282828282828284
segment,0.7421356421356421,0.65988455988456,0.9101010101010101,0.907215007215007,0.9291486291486292,0.9118326118326118,0.8611832611832614,0.9525252525252526,0.9272727272727272
spambase,0.7440398747423249,0.7150524005098429,0.8371374057813656,0.8950941006152733,0.8964716990039181,0.8816192229618091,0.8829242789028938,0.9305948165982155,0.9100922123086121
optdigits,0.6959667852906286,0.4804270462633452,0.962158956109134,0.942170818505338,0.9801897983392645,0.982502965599051,0.9422894424673787,0.9583629893238436,0.9658362989323844
